Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
76,Entry long,2025-07-26 05:00,Long,3.9319,36.04,141.705676,4.81,3.39,5.26,3.71,-0.08,-0.06,46.53,46.53,31
77,Exit long,2025-07-27 07:30,Regime Flat,4.1657,34.15,146.506915,-4.39,-3.00,0.93,0.63,-4.59,-3.13,42.13,42.13,14
77,Entry long,2025-07-27 00:30,Long,4.2901,34.15,146.506915,-4.39,-3.00,0.93,0.63,-4.59,-3.13,42.13,42.13,14
78,Exit long,2025-07-27 22:00,Regime Flat,4.2432,32.19,142.115631,-5.67,-3.99,0.63,0.44,-5.86,-4.12,36.47,36.47,2
78,Entry long,2025-07-27 21:00,Long,4.4149,32.19,142.115631,-5.67,-3.99,0.63,0.44,-5.86,-4.12,36.47,36.47,2
79,Exit short,2025-07-29 15:00,Regime Flat,3.9573,33.15,136.45866,5.14,3.77,7.87,5.77,-0.39,-0.28,41.61,41.61,31
79,Entry short,2025-07-28 23:30,Short,4.1164,33.15,136.45866,5.14,3.77,7.87,5.77,-0.39,-0.28,41.61,41.61,31
80,Exit long,2025-07-31 21:30,Regime Flat,3.7743,36.13,141.575405,-5.35,-3.78,0.04,0.03,-6.21,-4.39,36.26,36.26,7
80,Entry long,2025-07-31 18:00,Long,3.9185,36.13,141.575405,-5.35,-3.78,0.04,0.03,-6.21,-4.39,36.26,36.26,7
81,Exit short,2025-08-01 22:30,Regime Flat,3.5381,37.02,136.244706,5.13,3.76,9.79,7.18,-0.08,-0.06,41.39,41.39,33
81,Entry short,2025-08-01 06:00,Short,3.6803,37.02,136.244706,5.13,3.76,9.79,7.18,-0.08,-0.06,41.39,41.39,33
82,Exit long,2025-08-08 10:00,Regime Flat,3.7524,37.96,141.378224,0.92,0.65,3.12,2.21,-3.6,-2.55,42.31,42.31,29
82,Entry long,2025-08-07 19:30,Long,3.7244,37.96,141.378224,0.92,0.65,3.12,2.21,-3.6,-2.55,42.31,42.31,29
