time,open,high,low,close,Volume
1736260200,5.0718,5.0839,4.9514,4.9909,39030045.7616999969
1736262000,4.9908,5.0088,4.8495,4.9147,93068288.1344999969
1736263800,4.9145,4.933,4.7876,4.8922,55142200.9324000031
1736265600,4.8919,4.9109,4.8566,4.8942,16243881.7493999992
1736267400,4.8941,4.9783,4.8937,4.9062,17279357.375
1736269200,4.9063,4.9257,4.8584,4.8596,17686907.1827000007
1736271000,4.8597,4.8734,4.7975,4.8317,21128150.628800001
1736272800,4.8316,4.872,4.825,4.8271,8833060.3194999993
1736274600,4.8268,4.8562,4.7943,4.8349,14125364.9417000003
1736276400,4.8348,4.8596,4.8152,4.8354,5678420.3880000003
1736278200,4.8353,4.8903,4.8075,4.8881,12505784.1251999997
1736280000,4.8881,4.9553,4.8654,4.9449,14762529.7924000006
1736281800,4.9446,4.9554,4.8952,4.9253,10462991.7443000004
1736283600,4.9249,4.9323,4.8694,4.8896,8606304.0214000009
1736285400,4.8899,4.9042,4.8073,4.8093,18827093.6132999994
1736287200,4.8086,4.846,4.796,4.8406,13585506.5220999997
1736289000,4.8405,4.8485,4.8007,4.8347,7665779.9000000004
1736290800,4.8348,4.8348,4.7358,4.8184,13747416.1708000004
1736292600,4.8184,4.8272,4.78,4.785,4853400.1667999998
1736294400,4.7852,4.8302,4.7839,4.8135,5769965.5484999996
1736296200,4.8134,4.8633,4.813,4.8399,6086241.5466999998
1736298000,4.8398,4.8398,4.8,4.8199,5248816.0317000002
1736299800,4.82,4.8381,4.7475,4.7794,15141638.2610999998
1736301600,4.7794,4.8687,4.7341,4.8612,26185344.3172999993
1736303400,4.8607,4.8875,4.7509,4.7576,10753877.3052999992
1736305200,4.7577,4.7812,4.6775,4.7455,25111542.7047000006
1736307000,4.745,4.7485,4.6785,4.6996,12650389.4711000007
1736308800,4.6999,4.7393,4.6833,4.7358,8615037.3684999999
1736310600,4.7357,4.7415,4.6754,4.6889,6617473.0127999997
1736312400,4.6888,4.7334,4.6723,4.7127,6553998.2969000004
1736314200,4.7127,4.7252,4.6648,4.6658,5137595.8970999997
1736316000,4.6653,4.6976,4.6332,4.6372,9034004.8760000002
1736317800,4.6372,4.6395,4.5386,4.5518,27933678.3068000004
1736319600,4.5511,4.6181,4.5397,4.5985,11659825.7864999995
1736321400,4.5989,4.6009,4.5532,4.5831,6430355.1907000002
1736323200,4.5825,4.66,4.5759,4.6406,17320763.4704000019
1736325000,4.6406,4.652,4.6067,4.6103,6821744.4912999999
1736326800,4.6099,4.6401,4.6023,4.6193,4266179.8499999996
1736328600,4.6202,4.6218,4.555,4.5583,7880893.0120000001
1736330400,4.5582,4.61,4.5571,4.6066,3754952.5282999999
1736332200,4.6064,4.6116,4.566,4.5923,3536708.3602999998
1736334000,4.5924,4.5978,4.546,4.5492,4917445.5053000003
1736335800,4.5493,4.5554,4.5071,4.5472,10257024.7204
1736337600,4.5473,4.5838,4.5294,4.5656,5282941.1944000004
1736339400,4.5659,4.5805,4.5127,4.5264,9598225.8344999999
1736341200,4.527,4.598,4.5265,4.5763,8578976.0074000005
1736343000,4.5761,4.582,4.5404,4.5408,6043599.2346999999
1736344800,4.5406,4.6188,4.5251,4.6124,12864955.8409000002
1736346600,4.6123,4.6655,4.592,4.6274,17388576.6138000004
1736348400,4.6273,4.682,4.5788,4.5813,12183254.3592000008
1736350200,4.5814,4.6312,4.5671,4.6135,5797608.2271999996
1736352000,4.6134,4.6141,4.5651,4.5726,4700888.6471999995
1736353800,4.5734,4.5976,4.4967,4.4993,10221066.5006000008
1736355600,4.4994,4.526,4.424,4.4294,24217995.7074999996
1736357400,4.4294,4.6104,4.3867,4.5966,31680011.7448000014
1736359200,4.597,4.7341,4.5872,4.7205,22844135.7078000009
1736361000,4.7207,4.7223,4.6137,4.6583,18583042.9175000004
1736362800,4.6584,4.7222,4.6491,4.6997,12747904.2116
1736364600,4.6995,4.6995,4.6394,4.6435,8794937.5054000001
1736366400,4.6436,4.6647,4.6076,4.6535,9791248.5265999995
1736368200,4.653,4.6717,4.6264,4.6328,3439769.2785999998
1736370000,4.6329,4.6439,4.5788,4.5995,7960991.7732999995
1736371800,4.5995,4.721,4.5836,4.6844,13661832.0453999992
1736373600,4.6841,4.8166,4.6837,4.7847,16451278.6725999992
1736375400,4.7847,4.9049,4.7838,4.9038,15120257.4945
1736377200,4.9039,4.904,4.823,4.869,8836544.8249999993
1736379000,4.8692,4.9176,4.852,4.8943,8870204.0563999992
1736380800,4.8946,4.8946,4.8342,4.8423,8346811.2258000001
1736382600,4.8423,4.8636,4.792,4.8542,8883521.1495999992
1736384400,4.8541,4.8799,4.8324,4.8715,7824404.4632000001
1736386200,4.8715,4.8715,4.8286,4.8388,5098733.7401000001
1736388000,4.8388,4.8585,4.7669,4.8224,19077772.1347000003
1736389800,4.8215,4.8466,4.7945,4.8282,7140236.5689000003
1736391600,4.8298,4.834,4.7679,4.7931,8722087.9039999992
1736393400,4.793,4.8122,4.7723,4.7734,3873752.0332999998
1736395200,4.7734,4.7922,4.75,4.786,6798161.0302999998
1736397000,4.786,4.8077,4.7591,4.7984,5352292.0898000002
